"Height","Time","Temperature","Humidity"
2,2023-07-23 18:18:14,23.5,58
2,2023-07-23 18:18:44,23.5,60.5
2,2023-07-23 18:19:14,23.5,59
2,2023-07-23 18:19:44,24,62
2,2023-07-23 18:20:14,24,60
2,2023-07-23 18:20:44,24.5,60.5
2,2023-07-23 18:21:14,25,59
2,2023-07-23 18:21:44,26,57.5
2,2023-07-23 18:22:14,26.5,56
2,2023-07-23 18:22:44,27,52.5
2,2023-07-23 18:23:14,27,53
2,2023-07-23 18:23:44,27,53.5
2,2023-07-23 18:24:14,26.5,55
2,2023-07-23 18:24:44,27,57.5
2,2023-07-23 18:25:14,27,57.5
2,2023-07-23 18:25:44,27,62.5
2,2023-07-23 18:26:14,28,51.5
2,2023-07-23 18:26:44,28,52.5
2,2023-07-23 18:27:14,28,51
2,2023-07-23 18:27:44,28.5,48
2,2023-07-23 18:28:14,28.5,54.5
2,2023-07-23 18:28:44,28.5,71
2,2023-07-23 18:29:14,28.5,53.5
2,2023-07-23 18:29:44,28,54
2,2023-07-23 18:30:14,27.5,58
2,2023-07-23 18:30:44,27,56
2,2023-07-23 18:31:14,26.5,52
2,2023-07-23 18:31:44,26,53
2,2023-07-23 18:32:14,26,52.5
2,2023-07-23 18:32:44,25.5,53
2,2023-07-23 18:33:14,25,53
2,2023-07-23 18:33:44,25,53.5
2,2023-07-23 18:34:14,24.5,54.5
2,2023-07-23 18:34:44,24.5,54.5
2,2023-07-23 18:35:14,24,55.5
2,2023-07-23 18:35:44,24,56
2,2023-07-23 18:36:14,24,56.5
2,2023-07-23 18:36:44,23.5,57
2,2023-07-23 18:37:14,23.5,57.5
2,2023-07-23 18:37:44,23.5,57.5
2,2023-07-23 18:38:14,23,57.5
2,2023-07-23 18:38:44,23,58
2,2023-07-23 18:39:14,23,58.5
2,2023-07-23 18:39:44,23,59
2,2023-07-23 18:40:14,23,59.5
2,2023-07-23 18:40:44,22.5,59.5
2,2023-07-23 18:41:14,22.5,60
2,2023-07-23 18:41:44,22.5,60.5
2,2023-07-23 18:42:14,22.5,60.5
2,2023-07-23 18:42:44,22.5,60.5
2,2023-07-23 18:43:14,22.5,61
2,2023-07-23 18:43:44,22.5,61
2,2023-07-23 18:44:14,22,61
2,2023-07-23 18:44:44,22,61
2,2023-07-23 18:45:14,22,61.5
2,2023-07-23 18:45:44,22,60.5
2,2023-07-23 18:46:14,22,61.5
2,2023-07-23 18:46:44,22,61.5
2,2023-07-23 18:47:14,22,61
2,2023-07-23 18:47:44,22,62
2,2023-07-23 18:48:14,21.5,62
2,2023-07-23 18:48:44,21.5,62
2,2023-07-23 18:49:14,21.5,62.5
2,2023-07-23 18:49:44,21.5,62.5
2,2023-07-23 18:50:14,21.5,62.5
2,2023-07-23 18:50:44,21.5,62.5
2,2023-07-23 18:51:14,21.5,63.5
2,2023-07-23 18:51:44,21.5,63.5
2,2023-07-23 18:52:14,21.5,62.5
2,2023-07-23 18:52:44,21.5,64
2,2023-07-23 18:53:14,21.5,64
2,2023-07-23 18:53:44,21.5,63.5
2,2023-07-23 18:54:14,21.5,63.5
2,2023-07-23 18:54:44,21.5,63.5
2,2023-07-23 18:55:14,21.5,63
2,2023-07-23 18:55:44,21.5,63
2,2023-07-23 18:56:14,21.5,64
2,2023-07-23 18:56:44,21.5,63.5
2,2023-07-23 18:57:14,21.5,63.5
2,2023-07-23 18:57:44,21.5,63
2,2023-07-23 18:58:14,21.5,63
2,2023-07-23 18:58:44,21.5,63.5
2,2023-07-23 18:59:14,21.5,63.5
2,2023-07-23 18:59:44,21.5,64
2,2023-07-23 19:00:14,21.5,64
2,2023-07-23 19:00:44,21,64
2,2023-07-23 19:01:14,21,64.5
2,2023-07-23 19:01:44,21,65
2,2023-07-23 19:02:14,21,65
2,2023-07-23 19:02:44,21,64
2,2023-07-23 19:03:14,21,65
2,2023-07-23 19:03:44,21,65
2,2023-07-23 19:04:14,21,65
2,2023-07-23 19:04:44,21,64
2,2023-07-23 19:05:14,21,64
2,2023-07-23 19:05:44,21,65.5
2,2023-07-23 19:06:14,21,64.5
2,2023-07-23 19:06:44,21,65.5
2,2023-07-23 19:07:14,21,65
2,2023-07-23 19:07:44,21,64.5
2,2023-07-23 19:08:14,21,65
2,2023-07-23 19:08:44,21,64.5
2,2023-07-23 19:09:14,21,65.5
2,2023-07-23 19:09:44,21,65
2,2023-07-23 19:10:14,21,65
2,2023-07-23 19:10:44,21,65.5
2,2023-07-23 19:11:14,21,65.5
2,2023-07-23 19:11:44,21,65.5
2,2023-07-23 19:12:14,20.5,65.5
2,2023-07-23 19:12:44,20.5,65.5
2,2023-07-23 19:13:14,20.5,65.5
2,2023-07-23 19:13:44,20.5,65
2,2023-07-23 19:14:14,20.5,65.5
2,2023-07-23 19:14:44,20.5,65.5
2,2023-07-23 19:15:14,20.5,66
2,2023-07-23 19:15:44,20.5,66.5
2,2023-07-23 19:16:14,20.5,66
2,2023-07-23 19:16:44,20.5,65.5
2,2023-07-23 19:17:14,20.5,65.5
2,2023-07-23 19:17:44,20.5,65.5
2,2023-07-23 19:18:14,20.5,65
2,2023-07-23 19:18:44,20.5,65.5
2,2023-07-23 19:19:14,21,66
2,2023-07-23 19:19:44,21,65.5
2,2023-07-23 19:20:14,21,65.5
2,2023-07-23 19:20:44,21,65
2,2023-07-23 19:21:14,21,65
2,2023-07-23 19:21:44,21,65
2,2023-07-23 19:22:14,21,65
2,2023-07-23 19:22:44,21,65
2,2023-07-23 19:23:14,21,65.5
2,2023-07-23 19:23:44,21,64.5
2,2023-07-23 19:24:14,21,64.5
2,2023-07-23 19:24:44,21,65
2,2023-07-23 19:25:14,21,65
2,2023-07-23 19:25:44,21,65
2,2023-07-23 19:26:14,21,65
2,2023-07-23 19:26:44,21,65.5
2,2023-07-23 19:27:14,21,65.5
2,2023-07-23 19:27:44,21,65
2,2023-07-23 19:28:14,21,65
2,2023-07-23 19:28:44,21,65.5
2,2023-07-23 19:29:14,21,66
2,2023-07-23 19:29:44,21,66
2,2023-07-23 19:30:14,21,66.5
2,2023-07-23 19:30:44,21,65.5
2,2023-07-23 19:31:14,21,66
2,2023-07-23 19:31:44,21,66
2,2023-07-23 19:32:14,21,65.5
2,2023-07-23 19:32:44,21,65.5
2,2023-07-23 19:33:14,21,65.5
2,2023-07-23 19:33:44,21,65.5
2,2023-07-23 19:34:14,21,66
2,2023-07-23 19:34:44,20.5,65.5
2,2023-07-23 19:35:14,20.5,65.5
2,2023-07-23 19:35:44,20.5,66
2,2023-07-23 19:36:14,20.5,66
2,2023-07-23 19:36:44,20.5,65.5
2,2023-07-23 19:37:14,20.5,65.5
2,2023-07-23 19:37:44,20.5,65
2,2023-07-23 19:38:14,20.5,65.5
2,2023-07-23 19:38:44,20.5,65.5
