Site,Height,
1,2,0.02663
1,4,NA
1,6,0.91784
1,8,3.38037
2,2,0.008551
2,4,0.239855
2,6,NA
2,8,2.299386
3,2,0.42658
3,4,0.38288
3,6,0.28305
3,8,2.80054
4,2,0.15603
4,4,0.24737
4,6,0.32189
4,8,1.07875
5,2,0.99601
5,4,0.81348
5,6,0.97700
5,8,2.41115
7,2,-0.02475
7,4,0.13665
7,6,0.85909
7,8,-0.03493
8,2,0.13216
8,4,0.20982
8,6,0.58891
8,8,3.83955
9,2,0.04676
9,4,1.06315
9,6,1.59293
9,8,4.30584
10,2,-0.001708
10,4,0.516875
10,6,0.646328
10,8,0.911355
11,2,0.26996
11,4,0.28228
11,6,0.66359
11,8,2.34138
12,2,0.3171
12,4,NA
12,6,0.4207
12,8,1.2336
